18:06:38.171 [main] INFO  manager.HikariPoolManager - start connect db by HikariCP
18:06:38.278 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
18:06:38.286 [main] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
18:06:39.040 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
18:08:47.382 [main] INFO  manager.HikariPoolManager - start connect db by HikariCP
18:08:47.461 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
18:08:47.467 [main] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
18:08:48.168 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
18:10:53.864 [main] INFO  manager.HikariPoolManager - start connect db by HikariCP
18:10:53.947 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
18:10:53.957 [main] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
18:10:54.689 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
